PERSON_ID,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,PLAYER_SLUG,TEAM_ID,TEAM_SLUG,IS_DEFUNCT,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,PTS,REB,AST,STATS_TIMEFRAME,FROM_YEAR,TO_YEAR,career_length,HEIGHT_INCHES
76001,Abdelnaby,Alaa,alaa-abdelnaby,1610612757,blazers,0,Portland,Trail Blazers,POR,30,F,6-10,240.0,Duke,USA,1990.0,1.0,25.0,,5.7,3.3,0.3,Career,1990,1994,4,82.0
76002,Abdul-Aziz,Zaid,zaid-abdul-aziz,1610612745,rockets,0,Houston,Rockets,HOU,54,C,6-9,235.0,Iowa State,USA,1968.0,1.0,5.0,,9.0,8.0,1.2,Career,1968,1977,9,81.0
76003,Abdul-Jabbar,Kareem,kareem-abdul-jabbar,1610612747,lakers,0,Los Angeles,Lakers,LAL,33,C,7-2,225.0,UCLA,USA,1969.0,1.0,1.0,,24.6,11.2,3.6,Career,1969,1988,19,86.0
51,Abdul-Rauf,Mahmoud,mahmoud-abdul-rauf,1610612743,nuggets,0,Denver,Nuggets,DEN,1,G,6-1,162.0,Louisiana State,USA,1990.0,1.0,3.0,,14.6,1.9,3.5,Career,1990,2000,10,73.0
1505,Abdul-Wahad,Tariq,tariq-abdul-wahad,1610612758,kings,0,Sacramento,Kings,SAC,9,F-G,6-6,235.0,San Jose State,France,1997.0,1.0,11.0,,7.8,3.3,1.1,Career,1997,2003,6,78.0
949,Abdur-Rahim,Shareef,shareef-abdur-rahim,1610612763,grizzlies,0,Memphis,Grizzlies,MEM,3,F,6-9,245.0,California,USA,1996.0,1.0,3.0,,18.1,7.5,2.5,Career,1996,2007,11,81.0
76005,Abernethy,Tom,tom-abernethy,1610612744,warriors,0,Golden State,Warriors,GSW,5,F,6-7,220.0,Indiana,USA,1976.0,3.0,43.0,,5.6,3.2,1.2,Career,1976,1980,4,79.0
76006,Able,Forest,forest-able,1610612755,sixers,0,Philadelphia,76ers,PHI,6,G,6-3,180.0,Western Kentucky,USA,1956.0,,,,0.0,1.0,1.0,Career,1956,1956,0,75.0
76007,Abramovic,John,john-abramovic,1610610031,,1,Pittsburgh,Ironmen,PIT,,F,6-3,195.0,Salem,USA,,,,,9.5,0.0,0.7,Career,1946,1947,1,75.0
203518,Abrines,Alex,alex-abrines,1610612760,thunder,0,Oklahoma City,Thunder,OKC,8,G,6-6,190.0,FC Barcelona,Spain,2013.0,2.0,32.0,,5.3,1.4,0.5,Career,2016,2018,2,78.0
1630173,Achiuwa,Precious,precious-achiuwa,1610612752,knicks,0,New York,Knicks,NYK,5,F,6-8,243.0,Memphis,Nigeria,2020.0,1.0,20.0,1.0,6.6,5.6,1.0,Season,2020,2024,4,80.0
101165,Acker,Alex,alex-acker,1610612746,clippers,0,LA,Clippers,LAC,3,G,6-5,185.0,Pepperdine,USA,2005.0,2.0,60.0,,2.7,1.0,0.5,Career,2005,2008,3,77.0
76008,Ackerman,Donald,donald-ackerman,1610612752,knicks,0,New York,Knicks,NYK,,G,6-0,183.0,Long Island-Brooklyn,USA,1953.0,2.0,,,1.5,0.5,0.8,Career,1953,1953,0,72.0
76009,Acres,Mark,mark-acres,1610612753,magic,0,Orlando,Magic,ORL,42,C,6-11,220.0,Oral Roberts,USA,1985.0,2.0,40.0,,3.6,4.1,0.5,Career,1987,1992,5,83.0
76010,Acton,Charles,charles-acton,1610612745,rockets,0,Houston,Rockets,HOU,24,F,6-6,210.0,Hillsdale,USA,,,,,3.3,2.0,0.5,Career,1967,1967,0,78.0
203112,Acy,Quincy,quincy-acy,1610612758,kings,0,Sacramento,Kings,SAC,13,F,6-7,240.0,Baylor,USA,2012.0,2.0,37.0,,4.9,3.5,0.6,Career,2012,2018,6,79.0
76011,Adams,Alvan,alvan-adams,1610612756,suns,0,Phoenix,Suns,PHX,33,C,6-9,210.0,Oklahoma,USA,1975.0,1.0,4.0,,14.1,7.0,4.1,Career,1975,1987,12,81.0
76012,Adams,Don,don-adams,1610612765,pistons,0,Detroit,Pistons,DET,10,F,6-7,210.0,Northwestern,USA,1970.0,8.0,120.0,,8.7,5.6,1.8,Career,1970,1976,6,79.0
200801,Adams,Hassan,hassan-adams,1610612751,nets,0,Brooklyn,Nets,BKN,8,F,6-4,220.0,Arizona,USA,2006.0,2.0,54.0,,2.5,1.2,0.2,Career,2006,2008,2,76.0
1629121,Adams,Jaylen,jaylen-adams,1610612737,hawks,0,Atlanta,Hawks,ATL,10,G,6-0,225.0,St. Bonaventure,USA,,,,,2.7,1.5,1.6,Career,2018,2020,2,72.0
203919,Adams,Jordan,jordan-adams,1610612763,grizzlies,0,Memphis,Grizzlies,MEM,3,G,6-5,209.0,UCLA,USA,2014.0,1.0,22.0,,3.2,0.9,0.6,Career,2014,2015,1,77.0
149,Adams,Michael,michael-adams,1610612743,nuggets,0,Denver,Nuggets,DEN,23,G,5-10,165.0,Boston College,USA,1985.0,3.0,66.0,,14.7,2.9,6.4,Career,1985,1995,10,70.0
203500,Adams,Steven,steven-adams,1610612745,rockets,0,Houston,Rockets,HOU,12,C,6-11,265.0,Pittsburgh,New Zealand,2013.0,1.0,12.0,1.0,3.9,5.6,1.1,Season,2013,2024,11,83.0
912,Addison,Rafael,rafael-addison,1610612751,nets,0,Brooklyn,Nets,BKN,7,F,6-8,241.0,Syracuse,USA,1986.0,2.0,39.0,,5.8,2.1,0.9,Career,1986,1996,10,80.0
1628389,Adebayo,Bam,bam-adebayo,1610612748,heat,0,Miami,Heat,MIA,13,C-F,6-9,255.0,Kentucky,USA,2017.0,1.0,14.0,1.0,18.1,9.6,4.3,Season,2017,2024,7,81.0
1629061,Adel,Deng,deng-adel,1610612739,cavaliers,0,Cleveland,Cavaliers,CLE,32,F,6-7,200.0,Louisville,South Sudan,2018.0,,,,1.7,1.0,0.3,Career,2018,2018,0,79.0
76015,Adelman,Rick,rick-adelman,1610612757,blazers,0,Portland,Trail Blazers,POR,5,G,6-2,175.0,Loyola-Marymount,USA,1968.0,7.0,79.0,,7.7,2.4,3.5,Career,1968,1974,6,74.0
202399,Adrien,Jeff,jeff-adrien,1610612766,hornets,0,Charlotte,Hornets,CHA,12,F,6-7,245.0,Connecticut,USA,,,,,4.6,4.3,0.7,Career,2010,2014,4,79.0
201167,Afflalo,Arron,arron-afflalo,1610612743,nuggets,0,Denver,Nuggets,DEN,4,G,6-5,210.0,UCLA,USA,2007.0,1.0,27.0,,10.8,2.9,1.8,Career,2007,2017,10,77.0
1630534,Agbaji,Ochai,ochai-agbaji,1610612761,raptors,0,Toronto,Raptors,TOR,30,G,6-5,215.0,Kansas,USA,2022.0,1.0,14.0,1.0,10.4,3.8,1.5,Season,2022,2024,2,77.0
200772,Ager,Maurice,maurice-ager,1610612742,mavericks,0,Dallas,Mavericks,DAL,13,F-G,6-5,202.0,Michigan State,USA,2006.0,1.0,28.0,,2.1,0.6,0.2,Career,2006,2010,4,77.0
76016,Aguirre,Mark,mark-aguirre,1610612742,mavericks,0,Dallas,Mavericks,DAL,7,F,6-6,232.0,DePaul,USA,1981.0,1.0,1.0,,20.0,5.0,3.1,Career,1981,1993,12,78.0
201336,Ahearn,Blake,blake-ahearn,1610612748,heat,0,Miami,Heat,MIA,2,G,6-2,190.0,Missouri State,USA,,,,,4.6,1.2,1.2,Career,2007,2011,4,74.0
76017,Ainge,Danny,danny-ainge,1610612738,celtics,0,Boston,Celtics,BOS,22,G,6-5,175.0,Brigham Young,USA,1981.0,2.0,31.0,,11.5,2.7,4.0,Career,1981,1994,13,77.0
201582,Ajinca,Alexis,alexis-ajinca,1610612740,pelicans,0,New Orleans,Pelicans,NOP,42,C,7-2,248.0,Hyeres-Toulon,France,2008.0,1.0,20.0,,5.3,3.9,0.5,Career,2008,2017,9,86.0
76018,Akin,Henry,henry-akin,1610612752,knicks,0,New York,Knicks,NYK,10,C,6-10,225.0,Morehead State,USA,1966.0,2.0,11.0,,3.5,2.1,0.5,Career,1966,1967,1,82.0
203006,Akognon,Josh,josh-akognon,1610612742,mavericks,0,Dallas,Mavericks,DAL,10,G,5-11,185.0,California State-Fullerton,USA,,,,,1.7,0.3,0.3,Career,2012,2012,0,71.0
1629152,Akoon-Purcell,DeVaughn,devaughn-akoon-purcell,1610612743,nuggets,0,Denver,Nuggets,DEN,44,G,6-5,201.0,Illinois State,Trinidad and Tobago,2016.0,,,,1.0,0.6,0.9,Career,2018,2018,0,77.0
202374,Alabi,Solomon,solomon-alabi,1610612761,raptors,0,Toronto,Raptors,TOR,50,C,7-1,252.0,Florida State,Nigeria,2010.0,2.0,50.0,,1.5,2.3,0.2,Career,2010,2011,1,85.0
76019,Alarie,Mark,mark-alarie,1610612764,wizards,0,Washington,Wizards,WAS,31,F,6-8,217.0,Duke,USA,1986.0,1.0,18.0,,7.5,3.4,1.1,Career,1986,1990,4,80.0
76020,Alcorn,Gary,gary-alcorn,1610612765,pistons,0,Detroit,Pistons,DET,24,C,6-9,225.0,Fresno State,USA,1959.0,3.0,16.0,,3.3,4.2,0.3,Career,1959,1960,1,81.0
1630583,Aldama,Santi,santi-aldama,1610612763,grizzlies,0,Memphis,Grizzlies,MEM,7,F-C,7-0,215.0,Loyola-Maryland,Spain,2021.0,1.0,30.0,1.0,12.5,6.4,2.9,Season,2021,2024,3,84.0
